name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike
Edmonton,2/25/23,-6.7,-20.8,-12.7,-10.4,-26.9,-17.3
Edmonton,2/26/23,-7.5,-15,-11.3,-10.2,-20.9,-15.3
Edmonton,2/27/23,-3.1,-12.2,-9,-3.1,-17,-12.6
Edmonton,2/28/23,-10.4,-14.7,-12.5,-16.1,-21,-18.5
Edmonton,3/1/23,-6.6,-13,-9.6,-10.3,-18.6,-13.9
Edmonton,3/2/23,5.4,-7.9,-1.9,1.9,-12.3,-5.1
Edmonton,3/3/23,1.3,-8.7,-3.3,-2.7,-10.4,-6.8
Edmonton,3/4/23,-7.8,-14,-10.1,-9.2,-21,-14.9
Edmonton,3/5/23,-13.5,-18,-15.5,-14,-23.7,-20.5
Edmonton,3/6/23,-14.1,-17.2,-15.6,-20,-26.1,-23.3
Edmonton,3/7/23,-9.5,-16.8,-13.8,-16.2,-23.4,-20.8
Edmonton,3/8/23,-13.7,-19.8,-16.4,-20.3,-27.6,-23.7
Edmonton,3/9/23,-11.2,-18.3,-14.9,-18.6,-26.3,-23
Edmonton,3/10/23,-9.8,-17.2,-12.7,-13.4,-24.3,-18.9
Edmonton,3/11/23,-6.1,-16.8,-10.6,-6.4,-17.2,-12.8
Edmonton,3/12/23,-5.6,-16.5,-11.1,-9.9,-21.8,-15.3